City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Paamiut,GL,61.994,-49.6678,43.23,65,55,9.62,broken clouds
162,Jinchang,CN,38.4953,102.1739,72.9,17,48,10.02,scattered clouds
163,Aljezur,PT,37.3191,-8.8033,61.65,77,0,9.37,clear sky
164,Zhigansk,RU,66.7697,123.3711,48.51,65,1,17.58,clear sky
165,Muros,ES,42.7762,-9.0603,60.24,84,18,8.52,few clouds
166,Berlevag,NO,70.8578,29.0864,35.38,71,100,23.71,overcast clouds
167,Taoudenni,ML,22.6783,-3.9836,98.26,6,82,8.66,broken clouds
168,Vila Velha,BR,-20.3297,-40.2925,75.94,85,40,13.0,scattered clouds
169,Karpogory,RU,64.0019,44.4451,37.51,98,86,6.29,overcast clouds
170,Ormara,PK,25.2088,64.6357,83.52,85,9,5.64,clear sky
171,Bonavista,CA,48.6499,-53.1147,44.11,61,97,17.98,overcast clouds
172,Kassala,SD,15.451,36.4,91.24,18,15,3.33,few clouds
173,Cayenne,GF,4.9333,-52.3333,80.1,86,75,1.99,broken clouds
174,Maldonado,UY,-34.6667,-54.9167,55.4,88,44,8.05,mist
175,Boras,SE,57.721,12.9401,45.0,93,90,4.61,overcast clouds
176,Esperance,AU,-33.8667,121.9,59.0,55,90,14.97,overcast clouds
177,Bathsheba,BB,13.2167,-59.5167,79.41,65,40,13.96,scattered clouds
178,Klaksvik,FO,62.2266,-6.589,44.6,87,90,19.57,overcast clouds
179,Port Elizabeth,ZA,-33.918,25.5701,62.6,67,0,17.27,clear sky
180,Husavik,IS,66.0449,-17.3389,51.71,68,26,13.4,scattered clouds
181,Maniitsoq,GL,65.4167,-52.9,38.16,81,39,16.11,scattered clouds
182,Yellowknife,CA,62.456,-114.3525,59.56,38,40,3.0,scattered clouds
183,Troy,US,42.6056,-83.1499,46.54,79,90,1.99,overcast clouds
184,Bengkulu,ID,-3.8004,102.2655,75.31,92,100,3.18,overcast clouds
185,Xixiang,CN,35.1628,112.865,82.17,19,65,5.3,broken clouds
186,Kalmunai,LK,7.4167,81.8167,80.49,80,100,5.37,overcast clouds
187,Kurgan,RU,55.45,65.3333,56.08,59,27,7.38,scattered clouds
188,Cap Malheureux,MU,-19.9842,57.6142,73.99,78,42,5.01,scattered clouds
189,Chapais,CA,49.7834,-74.8492,44.38,34,2,6.8,clear sky
190,Blagoyevo,RU,63.3667,47.9167,45.0,93,82,9.62,broken clouds
191,Namibe,AO,-15.1961,12.1522,73.63,62,0,1.19,clear sky
192,High Level,CA,58.5169,-117.136,64.51,36,75,8.55,broken clouds
193,Puerto Leguizamo,CO,-0.1934,-74.7819,74.08,95,47,2.26,scattered clouds
194,Maiduguri,NG,11.8464,13.1603,93.78,27,100,2.66,overcast clouds
195,Port Hedland,AU,-20.3167,118.5667,75.25,38,88,12.66,overcast clouds
196,Ribeira Grande,PT,38.5167,-28.7,62.47,71,96,4.29,overcast clouds
