City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
394,Anjad,IN,85.87,overcast clouds,22.0333,75.05,Hotel Shanti & Restaurant
395,Marawi,PH,79.65,overcast clouds,7.9986,124.2928,Derogongan Residence
406,Balikpapan,ID,81.59,scattered clouds,-1.2675,116.8289,ibis Balikpapan
407,Cavalcante,BR,75.16,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
411,Gushikawa,JP,81.63,overcast clouds,26.3544,127.8686,Kirari Guest House
416,Tevaitoa,PF,80.19,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
423,Mecca,SA,88.21,light rain,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
424,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
425,Haimen,CN,85.89,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
426,Bandarbeyla,SO,80.06,overcast clouds,9.4942,50.8122,JABIR HOTEL
435,Port Antonio,JM,82.31,clear sky,18.18,-76.4612,The Trident Hotel
437,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
440,Sur,OM,86.88,broken clouds,22.5667,59.5289,Sur Plaza Hotel
441,Tautira,PF,87.82,broken clouds,-17.7333,-149.15,Pension Oaoa
443,Shenzhen,CN,89.22,overcast clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
444,Karwar,IN,79.34,overcast clouds,14.8,74.1333,Netalco Connects
449,Jalu,LY,82.99,few clouds,29.0331,21.5482,صاحبة الفخامة
450,Auki,SB,81.66,overcast clouds,-8.7676,160.7034,Auki Motel
452,Guatire,VE,75.7,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
453,Japura,ID,78.42,broken clouds,-0.3167,102.35,Rumah mbah Jamah
455,Kalawit,PH,84.51,overcast clouds,8.0667,122.5167,Ompoy Pension House
461,Buala,SB,80.26,light rain,-8.145,159.5921,Maringe Lagoon Lodge
462,Kailua,US,84.18,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
465,Price,US,81.66,clear sky,39.5994,-110.8107,National 9 - Price River Inn
467,Pipar,IN,87.62,clear sky,26.3856,73.5378,Aadam Mansion
471,Hambantota,LK,77.34,clear sky,6.1241,81.1185,Bungalow 63
474,Havelock,US,77.0,scattered clouds,34.8791,-76.9013,Sherwood Motel
488,Presidente Epitacio,BR,75.99,overcast clouds,-21.7633,-52.1156,Hotel Itaverá
489,Lao Cai,VN,83.79,broken clouds,22.4833,103.95,Legend Hotel
493,South Venice,US,81.0,scattered clouds,27.0531,-82.4243,Rodeway Inn
494,Kavaratti,IN,83.41,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
498,Ranong,TH,76.93,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
500,Riverton,US,78.01,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
504,Kovur,IN,88.77,few clouds,14.4833,79.9833,Hotel Yesh Park
505,Lazaro Cardenas,MX,83.19,clear sky,17.9583,-102.2,Hotel Quinta Antigua
508,Morant Bay,JM,82.02,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
509,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
512,San Jose,US,81.72,broken clouds,37.3394,-121.895,The Westin San Jose
515,San Rafael Del Sur,NI,86.97,broken clouds,11.8485,-86.4384,Hospedaje El Chino
516,Biltine,TD,85.17,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
518,Anito,PH,85.64,scattered clouds,12.4497,125.2886,The Yellow House
523,Karratha,AU,79.84,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
524,Eyl,SO,79.29,few clouds,7.9803,49.8164,Amiin Hotel
530,Kismayo,SO,77.11,overcast clouds,-0.3582,42.5454,Agan-Hotel
532,Sinnamary,GF,76.08,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
537,Dongsheng,CN,76.17,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
540,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
541,Ambulu,ID,79.81,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
543,Noumea,NC,75.99,few clouds,-22.2763,166.4572,Hôtel Le Lagon
544,Labrea,BR,75.72,clear sky,-7.2586,-64.7981,Hotel Novo Horizonte
548,San Alberto,CO,76.98,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
552,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
554,Sibolga,ID,77.56,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
556,Namatanai,PG,82.29,overcast clouds,-3.6667,152.4333,Namatanai Hotel
558,Dingle,PH,86.22,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
562,Virginia Beach,US,89.67,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
564,Mozarlandia,BR,76.28,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
568,Nisia Floresta,BR,77.0,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
570,Grants Pass,US,83.3,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
573,Keningau,MY,84.2,few clouds,5.3378,116.1602,Sabindo Hotel
582,Cangzhou,CN,77.86,clear sky,38.3167,116.8667,Jinji Express Hotel
587,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
590,Houston,US,84.34,few clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
595,Bozdar,PK,87.94,few clouds,27.1828,68.636,Hadi Hassan Shah Stop
597,Magaria,NE,87.69,overcast clouds,12.9983,8.9099,Chez Honorable Chapiou
599,Wana,PK,77.25,clear sky,32.2989,69.5725,Rest House at Wana Camp
